server_name,random_intercept,group,model,label
Miomir Kecmanovic,-0.00794753597000768,m_first,Speed_MPH_z,Average
Nick Kyrgios,-0.0886788680855597,m_first,Speed_MPH_z,Average
Nicolas Jarry,-0.0151442971151381,m_first,Speed_MPH_z,Average
Nikoloz Basilashvili,-0.0246049072889466,m_first,Speed_MPH_z,Average
Novak Djokovic,0.038056199611874,m_first,Speed_MPH_z,Average
Oscar Otte,-0.066152523641964,m_first,Speed_MPH_z,Average
Pablo Andujar,0.043993986976656,m_first,Speed_MPH_z,Average
Pedro Cachin,0.0275018427969062,m_first,Speed_MPH_z,Average
Pedro Martinez,-0.00124233968084626,m_first,Speed_MPH_z,Average
Philipp Kohlschreiber,0.143174548139922,m_first,Speed_MPH_z,Over-performer
Quentin Halys,0.0374319805655214,m_first,Speed_MPH_z,Average
Radu Albot,-0.0110108280823019,m_first,Speed_MPH_z,Average
Rafael Nadal,-0.0445400880809467,m_first,Speed_MPH_z,Average
Ricardas Berankis,0.0551069132735504,m_first,Speed_MPH_z,Average
Richard Gasquet,-0.0356790219349677,m_first,Speed_MPH_z,Average
Roberto Bautista Agut,-0.142280133631571,m_first,Speed_MPH_z,Under-performer
Roberto Carballes Baena,-0.112648414752158,m_first,Speed_MPH_z,Average
Roger Federer,0.0154413406838854,m_first,Speed_MPH_z,Average
Roman Safiullin,-0.10409147061274,m_first,Speed_MPH_z,Average
Salvatore Caruso,-0.0502833394717211,m_first,Speed_MPH_z,Average
Sam Querrey,0.0183478312497395,m_first,Speed_MPH_z,Average
Sebastian Korda,-0.0289246148816189,m_first,Speed_MPH_z,Average
Stan Wawrinka,-0.0197173572278182,m_first,Speed_MPH_z,Average
Stefan Kozlov,-0.0702419216045396,m_first,Speed_MPH_z,Average
Stefanos Tsitsipas,0.139691261661801,m_first,Speed_MPH_z,Over-performer
Steve Johnson,0.0126514655588127,m_first,Speed_MPH_z,Average
Tallon Griekspoor,0.00983146909000308,m_first,Speed_MPH_z,Average
Taro Daniel,-0.0338918614820531,m_first,Speed_MPH_z,Average
Taylor Fritz,-0.0284509550658459,m_first,Speed_MPH_z,Average
Tennys Sandgren,-0.013525675515697,m_first,Speed_MPH_z,Average
Thanasi Kokkinakis,-0.000481289883926045,m_first,Speed_MPH_z,Average
Thiago Seyboth Wild,-0.0246017279387591,m_first,Speed_MPH_z,Average
Tim Van Rijthoven,-0.0250662934273965,m_first,Speed_MPH_z,Average
Tommy Paul,0.117822425071384,m_first,Speed_MPH_z,Average
Ugo Humbert,0.0268331039151104,m_first,Speed_MPH_z,Average
Yannick Hanfmann,0.0242063503027564,m_first,Speed_MPH_z,Average
Yibing Wu,-0.0150013410993755,m_first,Speed_MPH_z,Average
Yoshihito Nishioka,0.117925165835375,m_first,Speed_MPH_z,Average
Yosuke Watanuki,0.00858675090852612,m_first,Speed_MPH_z,Average
Adrian Mannarino,-0.23223506875675,m_first,speed_ratio_z,Average
Alejandro Davidovich Fokina,0.0297330552194962,m_first,speed_ratio_z,Average
Alejandro Tabilo,0.0531634123569586,m_first,speed_ratio_z,Average
Aleksandar Kovacevic,0.0281568896957378,m_first,speed_ratio_z,Average
Aleksandar Vukic,-0.116089089360663,m_first,speed_ratio_z,Average
Alex de Minaur,0.00997408801410912,m_first,speed_ratio_z,Average
Alex De Minaur,0.0322438842123725,m_first,speed_ratio_z,Average
Alex Molcan,-0.0202590117906876,m_first,speed_ratio_z,Average
Alexander Bublik,0.267955635957814,m_first,speed_ratio_z,Over-performer
