"state","Pwin_FALSE","Pwin_TRUE","importance"
"40-0",0.160278745644599,0.987287147189177,0.827008401544577
"0-40",0.170023696682464,0.987433542774287,0.817409846091823
"30-0",0.391333938294011,0.950015743073048,0.558681804779037
"0-30",0.402123424021234,0.948316051764328,0.546192627743093
"AD-40",0.40321375186846,0.890438001233806,0.487224249365346
"40-AD",0.428627374192285,0.878433734939759,0.449806360747474
"15-40",0.589288731204595,0.891848523748395,0.3025597925438
"40-15",0.591785414920369,0.891917793632201,0.300132378711832
"15-0",0.617387616624258,0.885339102435098,0.26795148581084
"0-15",0.612524971771041,0.876794197272309,0.264269225501268
"30-15",0.684237461617195,0.810577255444176,0.12633979382698
"15-30",0.687221869040051,0.79807528530063,0.110853416260579
"40-30",0.663204942815828,0.760929124478856,0.0977241816630289
"30-40",0.66955697060019,0.761523046092184,0.0919660754919946
"15-15",0.750604351329573,0.759583393606249,0.00897904227667612
"40-40",0.698599480219463,0.70229473202714,0.00369525180767738
"30-30",0.719029244516653,0.722638522427441,0.00360927791078747
"0-0",0.226346795372276,0.226896034688874,0.000549239316597783
