"match_id","year","SetNo","GameNo","PointNumber","player1","player2","ServeNumber","ServeIndicator","PointWinner","ServeWidth","ServeDepth","RallyCount","P1DistanceRun","P2DistanceRun","P1Score","P2Score","state","GameWinner","serving_player_won","speed_ratio","importance","P1BreakPoint","P2BreakPoint","P1GamesWon","P2GamesWon","P1Ace","P2Ace","P1DoubleFault","P2DoubleFault","Speed_MPH","player1_name","player2_name","player1_avg_welo","player2_avg_welo","welo_p1_bt","welo_p2_bt","p_server_beats_returner","ElapsedSeconds"
"2019-wimbledon-2101",2019,1,3,17,"Ashleigh Barty","Saisai Zheng",2,2,1,"BW","NCTL",11,31.564,38.037,"0","0","0-0",1,0,0.95910780669145,23.09,0,0,3,0,0,0,0,0,90,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,505
"2019-wimbledon-2101",2019,1,4,18,"Ashleigh Barty","Saisai Zheng",2,2,2,"C","NCTL",3,7.675,9.28,"0","15","15-0",0,1,0.799256505576208,15.93,0,0,3,0,0,0,0,0,75,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,634
"2019-wimbledon-2101",2019,1,4,19,"Ashleigh Barty","Saisai Zheng",1,2,1,"W","CTL",6,17.818,19.098,"15","15","15-15",0,0,0.937794299876084,30.02,0,0,3,0,0,0,0,0,88,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,677
"2019-wimbledon-2101",2019,1,4,20,"Ashleigh Barty","Saisai Zheng",1,2,2,"BC","CTL",1,3.084,2.433,"15","30","30-15",0,1,1.03370508054523,20.17,0,0,3,0,0,0,0,0,97,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,710
"2019-wimbledon-2101",2019,1,4,21,"Ashleigh Barty","Saisai Zheng",1,2,2,"BW","CTL",1,2.059,2.138,"15","40","40-15",0,1,1.01239157372986,8.11,0,0,3,0,0,0,0,0,95,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,732
"2019-wimbledon-2101",2019,1,4,22,"Ashleigh Barty","Saisai Zheng",1,2,1,"W","CTL",6,17.83,25.609,"30","40","40-30",0,0,0.948451053283767,23.67,0,0,3,0,0,0,0,0,89,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,753
"2019-wimbledon-2101",2019,1,4,23,"Ashleigh Barty","Saisai Zheng",2,1,2,"BW","NCTL",7,22.038,22.623,"0","0","0-0",2,0,0.706831445245451,23.09,0,0,3,1,0,0,0,0,71,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,789
"2019-wimbledon-2101",2019,1,5,24,"Ashleigh Barty","Saisai Zheng",1,1,2,"W","NCTL",2,5.287,8.148,"0","15","0-15",0,0,1.00549261929283,34.74,0,0,3,1,0,0,0,0,101,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,841
"2019-wimbledon-2101",2019,1,5,25,"Ashleigh Barty","Saisai Zheng",2,1,2,"W","CTL",6,15.469,17.799,"0","30","0-30",0,0,0.856162032269138,41.98,0,0,3,1,0,0,0,0,86,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,862
"2019-wimbledon-2101",2019,1,5,26,"Ashleigh Barty","Saisai Zheng",2,1,1,"C","NCTL",1,5.646,3.309,"15","30","15-30",0,1,0.866117404737384,46.55,0,0,3,1,0,0,0,0,87,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,909
"2019-wimbledon-2101",2019,1,5,27,"Ashleigh Barty","Saisai Zheng",2,1,2,"BC","NCTL",10,29.656,26.184,"15","40","15-40",0,0,0.886028149673876,48.5,0,0,3,1,0,0,0,0,89,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,941
"2019-wimbledon-2101",2019,1,5,28,"Ashleigh Barty","Saisai Zheng",1,1,1,"C","NCTL",1,4.354,5.987,"30","40","30-40",0,1,1.09509097150704,76.33,0,1,3,1,0,0,0,0,110,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,985
"2019-wimbledon-2101",2019,1,5,29,"Ashleigh Barty","Saisai Zheng",2,1,1,"BW","NCTL",1,4.061,4.081,"40","40","40-40",0,1,0.846206659800892,43.65,0,1,3,1,0,0,0,0,85,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,1005
"2019-wimbledon-2101",2019,1,5,30,"Ashleigh Barty","Saisai Zheng",1,1,1,"W","CTL",1,3.351,4.951,"AD","40","AD-40",0,1,0.94576038448335,23.67,0,0,3,1,0,0,0,0,95,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,1036
"2019-wimbledon-2101",2019,1,5,31,"Ashleigh Barty","Saisai Zheng",1,1,2,"C","CTL",8,22.856,29.723,"40","40","40-40",0,0,1.09509097150704,43.65,0,0,3,1,0,0,0,0,110,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,1057
"2019-wimbledon-2101",2019,1,5,32,"Ashleigh Barty","Saisai Zheng",2,1,2,"BW","NCTL",12,31.113,52.228,"40","AD","40-AD",0,0,0.955715756951596,76.33,0,0,3,1,0,0,0,0,96,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,1090
"2019-wimbledon-2101",2019,1,5,33,"Ashleigh Barty","Saisai Zheng",1,2,2,"W","CTL",2,6.342,7.391,"0","0","0-0",2,1,1.18289962825279,23.09,0,1,3,2,0,0,0,0,111,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,1140
"2019-wimbledon-2101",2019,1,6,34,"Ashleigh Barty","Saisai Zheng",2,2,2,"C","NCTL",1,3.511,2.526,"0","15","15-0",0,1,0.895167286245353,15.93,0,0,3,2,0,0,0,0,84,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,1245
"2019-wimbledon-2101",2019,1,6,35,"Ashleigh Barty","Saisai Zheng",1,2,2,"BW","NCTL",5,17.862,16.343,"0","30","30-0",0,1,0.948451053283767,8.6,0,0,3,2,0,0,0,0,89,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,1279
"2019-wimbledon-2101",2019,1,6,36,"Ashleigh Barty","Saisai Zheng",2,2,1,"C","NCTL",10,31.18,34.892,"15","30","30-15",0,0,0.852540272614622,20.17,0,0,3,2,0,0,0,0,80,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,1308
"2019-wimbledon-2101",2019,1,6,37,"Ashleigh Barty","Saisai Zheng",2,2,1,"BW","NCTL",4,11.4,9.964,"30","30","30-30",0,0,0.820570012391574,43.39,0,0,3,2,0,0,0,0,77,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,1362
"2019-wimbledon-2101",2019,1,6,38,"Ashleigh Barty","Saisai Zheng",2,2,2,"C","NCTL",3,9.2,8.23,"30","40","40-30",0,1,0.809913258983891,23.67,0,0,3,2,0,0,0,0,76,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,1405
"2019-wimbledon-2101",2019,1,6,39,"Ashleigh Barty","Saisai Zheng",1,2,1,"W","NCTL",10,34.667,32.781,"40","40","40-40",0,0,0.863197026022305,43.65,0,0,3,2,0,0,0,0,81,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,1451
"2019-wimbledon-2101",2019,1,6,40,"Ashleigh Barty","Saisai Zheng",1,2,2,"B","NCTL",5,11.639,13.674,"40","AD","AD-40",0,1,0.969764560099133,23.67,0,0,3,2,0,0,0,0,91,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.408012382191761,1497
"2019-wimbledon-2101",2019,1,6,41,"Ashleigh Barty","Saisai Zheng",1,1,2,"C","NCTL",1,2.841,2.115,"0","0","0-0",2,0,0.935805012015105,23.09,0,0,3,3,0,0,0,0,94,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,1530
"2019-wimbledon-2101",2019,1,7,42,"Ashleigh Barty","Saisai Zheng",2,1,1,"BC","CTL",11,38.163,44.672,"15","0","15-0",0,1,0.895983522142122,15.93,0,0,3,3,0,0,0,0,90,"barty a.","zheng s.",1564.65529338104,1500,9.00693819634793,8.63475,0.591987617808239,1561
