"cluster","n","WBW_DNCTL","WC_DNCTL","WW_DCTL","WB_DNCTL","WBC_DNCTL"
"1",1,0.0476190476190476,0,0,0,0
"1",18,0,0.857142857142857,0,0,0
"1",2,0,0,0.0952380952380952,0,0
"2",5,0.135135135135135,0,0,0,0
"2",1,0,0,0,0.027027027027027,0
"2",28,0,0.756756756756757,0,0,0
"2",3,0,0,0.0810810810810811,0,0
"3",2,0,0,0,0.0487804878048781,0
"3",39,0,0.951219512195122,0,0,0
"4",5,0,0.192307692307692,0,0,0.192307692307692
"4",7,0.269230769230769,0,0.269230769230769,0,0
"4",2,0,0,0,0.0769230769230769,0
