"cluster","n","WBW_DNCTL","WB_DNCTL","WC_DNCTL","WW_DCTL","WBC_DNCTL"
"1",12,0.25531914893617,0,0,0,0
"1",3,0,0.0638297872340425,0,0,0
"1",21,0,0,0.446808510638298,0,0
"1",11,0,0,0,0.234042553191489,0
"2",2,0,0.0363636363636364,0,0,0
"2",53,0,0,0.963636363636364,0,0
"3",5,0,0,0,0,1
"4",1,0.0555555555555556,0,0,0.0555555555555556,0
"4",16,0,0,0.888888888888889,0,0
