"ServerName","serve_efficiency","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","overperf_lm","overperf_rf","overperf_xgb","pred_lm","pred_rf","pred_xgb","rf_weighted_baseline"
"adrian mannarino",0.273006134969325,-1.9694509032147,2.03551514365857,0.321892963464853,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,-0.0490239745624972,-0.0481323067736307,-0.038949167984395,0.322030109531822,0.321138441742956,0.31195530295372,-0.928973002755425
"alejandro davidovich fokina",0.348993288590604,-0.38423378248198,-0.573119562964204,1.40995758440573,-0.181089448698018,-0.223644375566856,2.80448620198832,-1.56602823871233,-0.32456914940173,0.01945531204448,0.0317729091996837,0.0379693082114994,0.329537976546124,0.31722037939092,0.311023980379105,-0.157253889723886
"alejandro tabilo",0.43,-0.264244161329328,0.468154845528301,0.821009797356239,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.0622185134801517,0.060510701542809,0.0511323142051697,0.367781486519848,0.369489298457191,0.37886768579483,-0.123935370567322
"aleksandar kovacevic",0.320987654320988,0.368853587172067,0.106065294152465,-1.05163413325931,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,-0.0782785197663939,-0.0662079205669662,-0.0752725774123345,0.399266174087382,0.387195574887954,0.396260231733322,0.185410803360447
"aleksandar vukic",0.333333333333333,0.273076352198721,-1.60520312191555,0.177517601906692,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,-0.0438176958208044,-0.0442948516166575,-0.0535818139712016,0.377151029154138,0.377628184949991,0.386915147304535,0.0546018032583142
"alex de minaur",0.366586538461538,-0.00597922821350015,0.725142416072704,1.18057470127269,-0.181089448698018,4.43561344874265,-0.353718980430959,-1.56602823871233,-0.32456914940173,0.00463310284127894,-0.00757341226883251,-0.0272897757016696,0.36195343562026,0.374159950730371,0.393876314163208,-0.0127312521705653
"alex molcan",0.341176470588235,-0.652147376380098,-0.0891532082903905,-0.0127192661081104,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,-0.0177832405102027,-0.00681647871830621,-0.00234685294768389,0.358959711098438,0.347992949306542,0.343523323535919,-0.350538252338979
"alexander bublik",0.478031634446397,1.7940390186799,1.37879999276634,0.314303787081561,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.0303621259629533,0.0773144751039258,0.042032360192552,0.447669508483444,0.400717159342471,0.435999274253845,0.981107158854989
"alexander zverev",0.507078507078507,2.40792340217422,-0.028756170691084,-0.102815049015333,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.0391919343015811,0.0458469847744014,0.0212381268867041,0.467886572776926,0.461231522304106,0.485840380191803,1.23081013799099
"alexandre muller",0.35361216730038,-1.35656481864602,1.07606025021127,0.721634162151213,-0.181089448698018,-0.223644375566856,-0.353718980430959,-1.56602823871233,3.05635949019963,-0.0130777259004854,0.00724108493621711,-0.00806825095256469,0.366689893200866,0.346371082364163,0.361680418252945,-0.626011725817357
"alexei popyrin",0.404761904761905,1.10629447363436,-2.1045797900153,-0.46026589764736,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.00920462434591507,-0.00125860231862301,0.0154991689182463,0.39555728041599,0.406020507080528,0.389262735843658,0.460645319482534
"aljaz bedene",0.416666666666667,-0.242937500180555,1.04717755128312,-0.391059875991705,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.0336374055712352,0.0380939679772542,0.00936348239580792,0.383029261095432,0.378572698689412,0.407303184270859,-0.0854009158069663
"andrey rublev",0.417604912998976,0.0297501870240273,1.70770321050626,0.619126583786266,-0.181089448698018,-0.223644375566856,-0.353718980430959,0.633449624647684,-0.32456914940173,0.0277845318401594,0.0622748337198469,0.0651114480522296,0.389820381158817,0.35533007927913,0.352493464946747,0.0866803916018862
