"ServerName","win_rate","expected_win_rate","overperformance","ace_pct","avg_speed","sd_speed","location_entropy","n_serves"
"maxime cressy",0.603174603174603,0.463209907033808,0.139964696140795,0.0476190476190476,113.793650793651,11.2925306889093,2.77068701595342,63
"nikoloz basilashvili",0.583333333333333,0.461042498592801,0.122290834740532,0,96.5,6.557438524302,2.44620978463647,36
"salvatore caruso",0.565217391304348,0.447326580883268,0.11789081042108,0,96.4130434782609,4.94222661001439,2.14887773294592,46
"roman safiullin",0.578125,0.466098667919516,0.112026332080484,0.015625,101.25,7.24842621123251,2.62319198715719,64
"rafael nadal",0.56547619047619,0.460278941459719,0.105197249016472,0,97.5,5.92669794261476,2.44983623344756,168
"jenson brooksby",0.547619047619048,0.456572762567061,0.0910462850519863,0,85.7142857142857,7.0995902124467,2.12188298381944,42
"tallon griekspoor",0.545454545454545,0.45870184104893,0.0867527044056154,0,102.242424242424,5.39114031902286,2.51641902837173,33
"juncheng shang",0.555555555555556,0.475431946351077,0.0801236092044785,0,96.7407407407407,6.99915139110931,2.75831236880778,54
"borna coric",0.548387096774194,0.473923737004509,0.074463359769685,0.0645161290322581,103.935483870968,8.49288126951416,2.74440619864436,31
"jack sock",0.530864197530864,0.458468894804781,0.0723953027260832,0,100.617283950617,8.75295364610508,2.48484126552667,81
"tommy paul",0.541176470588235,0.468933131926874,0.0722433386613608,0.00784313725490196,92.4,6.42313731079959,2.50902294605767,255
"yoshihito nishioka",0.55,0.479788892207678,0.0702111077923223,0,89.4,13.9886400797952,2.71085989460697,40
"alexander zverev",0.533018867924528,0.468921915662901,0.0640969522616278,0.0283018867924528,104.617924528302,8.78766150486777,2.73157030910946,212
"mattia bellucci",0.533333333333333,0.471180117115552,0.062153216217781,0.0166666666666667,101.083333333333,7.18353028424275,2.7252428865659,60
"adrian mannarino",0.525862068965517,0.464348697957827,0.0615133710076902,0,86.7327586206897,6.40157284833452,2.3072725620946,116
"karen khachanov",0.515625,0.454986890406218,0.0606381095937815,0,100.359375,5.62717586962737,2.39775437390469,128
"sebastian korda",0.528089887640449,0.468407373475523,0.0596825141649259,0.0112359550561798,96.1685393258427,5.73314913276722,2.56943301449756,89
"denis kudla",0.51219512195122,0.452853457727072,0.0593416642241472,0,96.1951219512195,6.77576383957972,2.26613753559136,41
"novak djokovic",0.535422343324251,0.477192891606303,0.058229451717948,0.00272479564032698,94.9700272479564,9.40735979328384,2.75782064418003,734
"alex de minaur",0.517241379310345,0.460173753401674,0.0570676259086704,0,96.5459770114943,5.68943212874508,2.42662796734155,348
"jannik sinner",0.526405451448041,0.469642936629822,0.0567625148182186,0.00681431005110733,99.144804088586,7.43259719838431,2.67298952813173,587
"carlos alcaraz",0.533213644524237,0.476832029006551,0.0563816155176863,0.00718132854578097,100.384201077199,7.94764579520967,2.85276655817973,557
"christopher eubanks",0.520833333333333,0.464811412274218,0.0560219210591156,0.0104166666666667,104.40625,8.72453060115708,2.67812623725571,96
"alejandro davidovich fokina",0.514285714285714,0.459117305774653,0.0551684085110614,0,97.5142857142857,7.97847378613504,2.43040544081593,105
"roberto carballes baena",0.525641025641026,0.471904297881982,0.0537367277590435,0.0128205128205128,98.0641025641026,7.02193177177946,2.68399368782911,78
"grigor dimitrov",0.523809523809524,0.470464898051914,0.0533446257576095,0,98.531746031746,7.27127898890191,2.69167670806026,252
"taro daniel",0.509803921568627,0.456930734805986,0.052873186762641,0,94.0196078431373,6.03817918276174,2.30451241682532,51
"mikael ymer",0.53125,0.480874980609196,0.0503750193908042,0,96.9583333333333,4.8469559989895,2.87347159686637,96
"dominic thiem",0.524590163934426,0.475249138706791,0.0493410252276356,0.0163934426229508,99.0655737704918,4.97282231219193,2.76384588194323,61
"taylor fritz",0.516129032258065,0.467227276024591,0.048901756233473,0.00248138957816377,98.1786600496278,8.3825120726324,2.61262995232035,403
"diego schwartzman",0.532467532467532,0.484860609881409,0.0476069225861238,0,87.3766233766234,6.00226310487166,2.7561126695405,154
"yosuke watanuki",0.51063829787234,0.463176154703828,0.0474621431685122,0.0425531914893617,100.510638297872,5.72132677081998,2.48342827096781,47
"yannick hanfmann",0.516666666666667,0.471234826745972,0.0454318399206947,0.0166666666666667,97.6,9.45856261699742,2.65742227147488,60
"andy murray",0.51685393258427,0.471977781984806,0.044876150599464,0.00561797752808989,93.1516853932584,8.53404762670175,2.59972261135981,178
"ugo humbert",0.510526315789474,0.471086553920484,0.0394397618689897,0.00526315789473684,94.8,4.91213808123311,2.60803604575266,190
"aljaz bedene",0.517241379310345,0.48214794838152,0.0350934309288252,0.0344827586206897,93.7586206896552,8.24471767000715,2.76587635847043,29
"denis shapovalov",0.517460317460318,0.482667980587307,0.0347923368730103,0.0126984126984127,99.7428571428571,6.91950336675864,2.94871698969873,315
"david goffin",0.516260162601626,0.482797561270025,0.0334626013316012,0.0040650406504065,91.3861788617886,4.97598847041206,2.78673286833152,246
"richard gasquet",0.493150684931507,0.460572015518208,0.0325786694132992,0,96.1780821917808,6.12450103580652,2.42827903760488,73
"kei nishikori",0.5,0.471283712262206,0.0287162877377936,0,88.7352941176471,6.43997376020163,2.4976065927706,34
"dominik koepfer",0.464285714285714,0.436202163994454,0.0280835502912608,0,101.464285714286,3.89189226428808,2.01786505292067,28
"arthur fils",0.48936170212766,0.462330086840462,0.0270316152871972,0,97.468085106383,6.33091470769254,2.49373331597903,47
"cristian garin",0.495454545454545,0.472463504668323,0.0229910407862221,0.00454545454545455,95.8409090909091,7.34829269711503,2.66699951972573,220
