"gender","serve_number","speed_variable","test_accuracy","log_loss"
"F",1,"Speed_MPH_z",0.656253070046174,0.641334581536174
"F",1,"speed_ratio_z",0.656253070046174,0.635704721440726
"F",2,"Speed_MPH_z",0.553309174136944,0.683745701937922
"F",2,"speed_ratio_z",0.559221819568949,0.683806692548642
"M",1,"Speed_MPH_z",0.748956581324363,0.569583024896628
"M",1,"speed_ratio_z",0.748956581324363,0.564878397584176
"M",2,"Speed_MPH_z",0.57496270512183,0.683388677477405
"M",2,"speed_ratio_z",0.57496270512183,0.68371714873916
